fname,file_type,time_start,time_end,freq_start,freq_end
NB_190804_204943_602.wav,whistles,0.2027,0.7680,12375.0,19875.0
NB_190804_204943_602.wav,whistles,1.2640,1.5360,7312.5,11765.6
DB_190916_133225_967.wav,whistles,0.6613,1.2640,6140.6,16031.2
DB_190916_133225_967.wav,whistles,1.2320,1.9147,8390.6,14953.1
SM_190916_091338_687.wav,whistles,1.7387,2.4640,7031.2,13453.1
DB_190916_022848_526.wav,whistles,1.6053,2.5387,8109.4,13828.1
NB_190901_165552_240.wav,whistles,0.1493,0.6613,8015.6,9515.6
NB_190901_165552_240.wav,whistles,0.8640,1.2213,8203.1,9703.1
NB_190804_222418_739.wav,whistles,2.2080,2.9227,6796.9,14437.5
SM_190712_085108_000.wav,whistles,1.5573,2.5280,5062.5,12937.5
SM_190914_061533_428.wav,whistles,0.3893,1.1733,5062.5,11484.4
SM_190914_061533_428.wav,whistles,2.2293,2.9760,5109.4,11578.1
SM_190712_090053_869.wav,whistles,1.1200,1.8027,6093.8,13875.0
SM_190712_090053_869.wav,whistles,1.8400,2.3733,7968.8,12984.4
SM_190712_090053_869.wav,whistles,2.3893,2.6933,7546.9,13312.5
SM_190916_085436_700.wav,whistles,0.9707,1.8560,5109.4,12000.0
NB_190915_204916_911.wav,whistles,0.4107,1.4507,6234.4,15937.5
SM_190811_211103_324.wav,whistles,1.4560,2.3093,5203.1,10875.0
SM_190811_211103_324.wav,whistles,1.7067,2.3253,10687.5,19500.0
SM_190805_021932_093.wav,whistles,1.2427,1.6320,9609.4,12234.4
SM_190805_021932_093.wav,whistles,2.0907,2.4213,8812.5,11765.6
DB_190723_063231_541.wav,whistle,1.3440,1.8667,6656.2,16031.2
DB_190723_063231_541.wav,whistle,1.8933,2.4160,9000.0,15843.8
DB_190724_031629_345.wav,whistle,2.1600,2.8427,5109.4,13828.1
DB_190730_200903_443.wav,whistle,1.2213,1.8133,5156.2,11906.2
DB_190827_180549_770.wav,whistle,1.4880,1.7813,5625.0,11765.6
DB_190830_075801_229.wav,whistle,0.6827,1.2693,5859.4,14859.4
DB_190830_075801_229.wav,whistle,1.2853,1.6320,7125.0,15046.9
DB_190830_075801_229.wav,whistle,1.4987,2.4427,6890.6,16125.0
DB_190913_130818_238.wav,whistle,0.1760,0.9013,5484.4,11625.0
DB_190916_025605_727.wav,whistle,1.0667,1.2907,8250.0,13500.0
DB_190916_181956_254.wav,whistle,0.7413,1.4827,7312.5,16921.9
DB_190916_181956_254.wav,whistle,2.0693,2.9493,5156.2,19828.1
DB_190916_184726_143.wav,whistle,0.0373,1.2373,6140.6,15796.9
DB_190916_184726_143.wav,whistle,1.8987,2.4533,6562.5,14718.8
NB_190804_195209_109.wav,whistle,0.1707,0.8427,7593.8,16265.6
NB_190827_223302_720.wav,whistle,1.7973,2.3893,5765.6,12093.8
SM_190823_232942_376.wav,whistle,1.1733,2.3200,5625.0,13031.2
SM_190904_100025_811.wav,whistle,1.6853,2.4213,6703.1,19734.4
SM_190904_100025_811.wav,whistle,0.0107,0.4640,10875.0,19828.1
SM_190905_002456_944.wav,whistle,2.0160,2.4427,10078.1,16265.6
SM_190922_001208_812.wav,whistle,0.4320,0.7733,6140.6,12046.9
SM_190922_001208_812.wav,whistle,0.6400,0.9547,13078.1,16453.1
SM_190922_001208_812.wav,whistle,1.0667,1.3653,7734.4,12421.9
SM_190922_001208_812.wav,whistle,1.2320,1.5787,12796.9,16828.1
